timestamp_recebido,sensor_id,tipo,valor,unidade,topico
2026-08-21T14:25:42,sensor_temp_01,temperatura,50.51,C,fabrica/maquina01/temperatura
2026-08-21T14:25:43,sensor_temp_02,temperatura,64.85,C,fabrica/maquina02/temperatura
2026-08-21T14:25:44,sensor_vib_03,vibracao,14.7,Hz,fabrica/maquina03/vibracao
2026-08-21T14:25:44,sensor_press_04,pressao,113.01,PSI,fabrica/maquina04/pressao
2026-08-21T14:25:44,sensor_temp_01,temperatura,50.78,C,fabrica/maquina01/temperatura
2026-08-21T14:25:45,sensor_temp_02,temperatura,60.13,C,fabrica/maquina02/temperatura
2026-08-21T14:25:46,sensor_vib_03,vibracao,15.54,Hz,fabrica/maquina03/vibracao
2026-08-21T14:25:46,sensor_press_04,pressao,127.05,PSI,fabrica/maquina04/pressao
2026-08-21T14:25:46,sensor_temp_01,temperatura,54.13,C,fabrica/maquina01/temperatura
2026-08-21T14:25:47,sensor_temp_02,temperatura,54.9,C,fabrica/maquina02/temperatura
2026-08-21T14:25:48,sensor_vib_03,vibracao,15.27,Hz,fabrica/maquina03/vibracao
2026-08-21T14:25:48,sensor_press_04,pressao,133.05,PSI,fabrica/maquina04/pressao
2026-08-21T14:25:48,sensor_temp_01,temperatura,58.75,C,fabrica/maquina01/temperatura
2026-08-21T14:25:49,sensor_temp_02,temperatura,50.58,C,fabrica/maquina02/temperatura
2026-08-21T14:25:50,sensor_vib_03,vibracao,14.73,Hz,fabrica/maquina03/vibracao
2026-08-21T14:25:50,sensor_press_04,pressao,141.02,PSI,fabrica/maquina04/pressao
2026-08-21T14:25:50,sensor_temp_01,temperatura,63.89,C,fabrica/maquina01/temperatura
2026-08-21T14:25:51,sensor_temp_02,temperatura,49.59,C,fabrica/maquina02/temperatura
2026-08-21T14:25:52,sensor_vib_03,vibracao,13.36,Hz,fabrica/maquina03/vibracao
2026-08-21T14:25:52,sensor_press_04,pressao,140.66,PSI,fabrica/maquina04/pressao
2026-08-21T14:25:52,sensor_temp_01,temperatura,69.62,C,fabrica/maquina01/temperatura
2026-08-21T14:25:53,sensor_temp_02,temperatura,50.94,C,fabrica/maquina02/temperatura
2026-08-21T14:25:54,sensor_vib_03,vibracao,11.38,Hz,fabrica/maquina03/vibracao
2026-08-21T14:25:54,sensor_press_04,pressao,138.01,PSI,fabrica/maquina04/pressao
2026-08-21T14:25:54,sensor_temp_01,temperatura,75.2,C,fabrica/maquina01/temperatura
2026-08-21T14:25:55,sensor_temp_02,temperatura,53.24,C,fabrica/maquina02/temperatura
2026-08-21T14:25:56,sensor_vib_03,vibracao,9.26,Hz,fabrica/maquina03/vibracao
2026-08-21T14:25:56,sensor_press_04,pressao,131.23,PSI,fabrica/maquina04/pressao
2026-08-21T14:25:56,sensor_temp_01,temperatura,81.8,C,fabrica/maquina01/temperatura
2026-08-21T14:25:57,sensor_temp_02,temperatura,57.8,C,fabrica/maquina02/temperatura
2026-08-21T14:25:58,sensor_vib_03,vibracao,6.05,Hz,fabrica/maquina03/vibracao
2026-08-21T14:25:58,sensor_press_04,pressao,120.5,PSI,fabrica/maquina04/pressao
2026-08-21T14:25:58,sensor_temp_01,temperatura,87.2,C,fabrica/maquina01/temperatura
2026-08-21T14:25:59,sensor_temp_02,temperatura,62.55,C,fabrica/maquina02/temperatura
2026-08-21T14:26:00,sensor_vib_03,vibracao,3.21,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:00,sensor_press_04,pressao,110.6,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:00,sensor_temp_01,temperatura,88.41,C,fabrica/maquina01/temperatura
2026-08-21T14:26:01,sensor_temp_02,temperatura,67.98,C,fabrica/maquina02/temperatura
2026-08-21T14:26:02,sensor_vib_03,vibracao,1.87,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:02,sensor_press_04,pressao,96.14,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:02,sensor_temp_01,temperatura,89.73,C,fabrica/maquina01/temperatura
2026-08-21T14:26:03,sensor_temp_02,temperatura,74.42,C,fabrica/maquina02/temperatura
2026-08-21T14:26:04,sensor_vib_03,vibracao,0.7,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:04,sensor_press_04,pressao,87.31,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:04,sensor_temp_01,temperatura,89.42,C,fabrica/maquina01/temperatura
2026-08-21T14:26:05,sensor_temp_02,temperatura,79.7,C,fabrica/maquina02/temperatura
2026-08-21T14:26:06,sensor_vib_03,vibracao,0.64,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:06,sensor_press_04,pressao,74.84,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:06,sensor_temp_01,temperatura,87.44,C,fabrica/maquina01/temperatura
2026-08-21T14:26:07,sensor_temp_02,temperatura,86.63,C,fabrica/maquina02/temperatura
2026-08-21T14:26:08,sensor_vib_03,vibracao,0.0,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:08,sensor_press_04,pressao,68.76,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:08,sensor_temp_01,temperatura,81.38,C,fabrica/maquina01/temperatura
2026-08-21T14:26:09,sensor_temp_02,temperatura,89.43,C,fabrica/maquina02/temperatura
2026-08-21T14:26:10,sensor_vib_03,vibracao,0.6,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:10,sensor_press_04,pressao,58.51,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:10,sensor_temp_01,temperatura,76.99,C,fabrica/maquina01/temperatura
2026-08-21T14:26:11,sensor_temp_02,temperatura,89.09,C,fabrica/maquina02/temperatura
2026-08-21T14:26:12,sensor_vib_03,vibracao,2.77,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:12,sensor_press_04,pressao,57.61,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:12,sensor_temp_01,temperatura,70.91,C,fabrica/maquina01/temperatura
2026-08-21T14:26:13,sensor_temp_02,temperatura,88.79,C,fabrica/maquina02/temperatura
2026-08-21T14:26:14,sensor_vib_03,vibracao,5.57,Hz,fabrica/maquina03/vibracao
